"REGION","YEAR","ANALYSIS_STRATUM","STRAT","PROT","DEPTH_M","cover_group","n","avcvr","Var","SE","CV_perc"
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"CCA",30,0.925538261022132,0.0958851958500376,0.309653347874745,33.4565691031265
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"HARD CORALS",30,0.984594480953472,0.0283986920685125,0.168519114846098,17.1155859702673
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"MACROALGAE",30,8.70967340372511,1.78695393090371,1.33676996184972,15.3481066382809
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"OTHER",30,30.521046586806,3.90767896254041,1.97678500665611,6.47679299277587
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"RAMICRUSTA SPP.",30,0,3.33333333333333e-10,1.82574185835055e-05,NA
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"SOFT CORALS",30,7.98691963446687,0.628738938298597,0.792930601186886,9.92786502777694
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"SPONGES",30,12.8827366670797,0.914757983762752,0.956429811205585,7.42411985839647
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",14.2310064411595,"TURF ALGAE",30,37.9894909659467,2.7364944025411,1.65423529237564,4.35445500930368
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"CCA",19,1.91457900558751,0.883766795520233,0.94008871683487,49.1015891269733
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"HARD CORALS",19,1.78272136226492,0.102185638238753,0.319664884275319,17.9312870222854
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"MACROALGAE",19,10.4499167372797,3.09456539803206,1.7591376859223,16.833987582376
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"OTHER",19,25.7621652831462,2.59089546512697,1.60962587737864,6.2480224767119
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"RAMICRUSTA SPP.",19,0,5.26315789473684e-10,2.29415733870562e-05,NA
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"SOFT CORALS",19,12.4404651132816,1.18099422262089,1.08673558082032,8.73548995897357
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"SPONGES",19,13.0583489598194,0.937966014701133,0.968486455610575,7.41660724943567
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",16.8063327955307,"TURF ALGAE",19,34.5918035386207,4.05118526368985,2.01275563933873,5.81859120786098
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"CCA",19,1.94736842105263,1.02031394275162,1.01010590670069,51.8703033170623
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"HARD CORALS",19,0.157894736842105,0.00738688827331487,0.085947008518708,54.4331053951818
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"MACROALGAE",19,43.1578947368421,31.533702677747,5.61548775065417,13.0114960076133
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"OTHER",19,23.7368421052632,29.6189596799015,5.4423303538008,22.9277775437284
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"RAMICRUSTA SPP.",19,0,5.26315789473684e-10,2.29415733870562e-05,NA
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"SOFT CORALS",19,1.94736842105263,1.06124961526624,1.03016970216865,52.9006063275791
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"SPONGES",19,4.52631578947368,1.41151123422592,1.18807038269032,26.248066594321
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",23.5257466155971,"TURF ALGAE",19,24.5263157894737,34.2770083102493,5.85465697630949,23.8709190021202
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"CCA",6,3.83333333333333,4.36111111111111,2.08832734769028,54.4781047223551
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"HARD CORALS",6,1.66666666666667,1.24444444444444,1.11554670204543,66.9328021227261
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"MACROALGAE",6,30.1666666666667,37.2944444444445,6.10691775320779,20.2439262537275
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"OTHER",6,9.16666666666667,8.69444444444444,2.94863433549236,32.166920023553
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"RAMICRUSTA SPP.",6,0,1.66666666666667e-09,4.08248290463863e-05,NA
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"SOFT CORALS",6,4.83333333333333,6.09444444444444,2.46869286150474,51.0764040311325
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"SPONGES",6,9.33333333333333,3.57777777777778,1.89150146121481,20.2660870844444
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",22.85999926848,"TURF ALGAE",6,41,20.0666666666667,4.47958331395529,10.9258129608666
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"CCA",7,0,1.42857142857143e-09,3.77964473009227e-05,NA
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"HARD CORALS",7,2.42857142857143,2.2312925170068,1.49375115631982,61.5074005543456
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"MACROALGAE",7,24.7142857142857,27.0340136054422,5.19942435327625,21.038133221349
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"OTHER",7,9.71428571428571,16.0340136054422,4.00424944345906,41.2202148591374
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"RAMICRUSTA SPP.",7,0,1.42857142857143e-09,3.77964473009227e-05,NA
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"SOFT CORALS",7,8.71428571428571,1.74829931972789,1.32223270256332,15.1731621605627
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"SPONGES",7,5.85714285714286,1.68707482993197,1.29887444733199,22.175905198351
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",9.62297112063635,"TURF ALGAE",7,48.5714285714286,48.7551020408163,6.98248537705711,14.3757051880587
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"CCA",5,0,2e-09,4.47213595499958e-05,NA
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"HARD CORALS",5,2.2,1.24,1.113552872566,50.6160396620911
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"MACROALGAE",5,30.8,12.34,3.51283361405006,11.405303941721
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"OTHER",5,4.8,11.04,3.32264954516723,69.2218655243173
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"RAMICRUSTA SPP.",5,0,2e-09,4.47213595499958e-05,NA
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"SOFT CORALS",5,5.8,0.54,0.734846922834953,12.6697745316371
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"SPONGES",5,7.6,4.06,2.01494416796099,26.5124232626446
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",9.50975969568769,"TURF ALGAE",5,48.8,20.14,4.48776113446337,9.19623183291675
"SEFCRI",2016,"MIDR0 / PROT = 0","MIDR0","0",13.33499957328,"CCA",8,0.25,0.0625,0.25,100
"SEFCRI",2016,"MIDR0 / PROT = 0","MIDR0","0",13.33499957328,"HARD CORALS",8,2.125,0.622767857142857,0.789156421213727,37.1367727629989
"SEFCRI",2016,"MIDR0 / PROT = 0","MIDR0","0",13.33499957328,"MACROALGAE",8,21.875,77.0513392857143,8.77788922724104,40.1274936102448
